sentence,score
영화가 끝날 때 까지 남는 잔잔한 여유무엇보다 제작과정의 섬세한 부분들이 보여서 좋은 영화.,10
역시 아바타....멋지네요,10
내취향아님,1
황정민 체고 ,10
1편 2편 의리 땜에ㅜ봤다,3
보다잠...,4
그림체가 이쁜 영화,5
그냥 보세요 감동 슬픔 웃음 다 있습니다 ㅠ.ㅠ,10
아바타를 보는데눈물이 나는건 아바타1은 총각때이고 아바타2는 이제초등학교 입학하는 부모의 마음으로 보니 눈물이 많이 나네,10
스토리야 소설 압축이라 휙휙 지나가지만 액션씬 하나만은 좋음,7
Cg만 좋았음 강수연님 고인에게는 죄송하지만 연기 너무 어색하고 90년대 연기를 2023년 ㅠㅠ너무기대하고 봤나 하여튼 cg우수하고 짜증나는 영화,4
...,1
보다 잠,2
대박입니다 너무 재미있어요!,10
생각이상으로 재밌음 속편 확정이라는데 벌써 기대되네여,7
정~말 오랜만에 극장가서 본 영화인데 더군다나 아이맥스로 봐서 그런지 화면 정말 시원하고 영상미 진짜 미쳤더군요... 아바타는 그냥 무조건 극장에서 봐야할거같아요,10
올 연초 최고의 영화 송태섭 팬 으로서 너무 좋았다는,10
농담에서 진리로. 진리에서 일상으로. 온갖 오마주가 가득하다.,8
풍자성이 강한 괜찮게 볼만한 SF 스릴러 영화,7
뭔가 사실적이고 담담하면서도 보는 관객으로 하여금 생각을 하게 만드는 점이 좋은 드라마 영화,7
일단 저는 드라마를 다 보고 영화를 관람했는데내용  너무 좋았어요.  배우들의 연기도 좋구요.드라마이후에 아쉬움을 달래줄 그런 선물같은 영화였습니다. ,10
아는 이야기라 감동이 없을줄 알았지만 만화에서는 비춰주지않는 송태섭을 위주로 또 새로운 이야기를 보여줘서 감동이었다,8
"억지 감동스토리, 노잼임이게 어캐 이만큼관객이 봤는지...",1
우리는 아이들의 눈을 바라보고 진짜 웃음을 구별할줄 알아야합니다. 보는 내내 슬펐고 마지막 엔딩에서 앙트완의 눈빛을 잊을 수가 없네요.,9
그냥 미친 영화(좋은뜻),10
아쉬움도 꽤 있지만 잘만든 영화 입니다~ 노래자막 버젼 나왔다는데 시간내서 1번 더 보려구요 ,10
반짝이는 아이디어와 완벽한 결과물,10
바다의 이단자. 고래놈의 배때기에 작살을 꽂아놓으리라!,9
이게 영화냐?ㅋㅋ 나라꼴이 개판이니까 영화도~ 에휴 ,1
원작을 잘 몰라서 어려웠다..,6
절대보지마세오ㅡ   꿀잠보자,2
전설기 돌아왔다 ㅠㅠ,10
진짜 보는 순간 긴장 졸이면서 봤고 중간중간 송태섭의 서사 지루할 틈이 없이 2시간을 감동과 전율로 채운 영화. 남자라면 심장이 뛰는 그 영화,10
정적일 때 기침 한 번 하면 진짜 대역죄인 될거같은 느낌,10
모 영화관의 아티스트 뱃지를 받기위해..,6
대체 뭘 하고 싶었던 건지 모르겠다ㅋㅋㅋㅋ,1
3가 벌써 기다려진다넘 멋진영화♡,10
지인분이 본다하여 예매해드림...,6
영화관에서 볼 것 까진 아니라고...,4
안젤리나 졸리 주연이라 감상했는데 출연 아역 배우들 연기도 웬지 모르게 좀 어색하고 뭔가 뜬금없고 느닷없이 전개되는 스토리 또한 그다지 흥미롭지 않았던 가족/판타지/드라마...,5
재미있다   스토리야 일제강점기니 독립은 아니더라도  왜  살아야하는지  왜 독립을 해야하는지를 두 여인들의 틀린 시각에서  잘 보여줬다  제시카소담이의 시크함에  박수를 보낸다 ,8
야옹이 눈호강 커엽  ㅋㅋ,8
"그 어떤 작품보다 재밌고 감동적이었습니다.계속 울면서 봤어요, 뮤지컬영화 영웅 최고!!",10
볼때마다 눈물난다주인공들이 연기를 너무 잘한다웃긴 포인트도 많다,10
이상황어쩔 배우들. 너무아깝다그냥다큐. 잼없는다큐,4
다음편 기대됍니다 최고입니다 견자단사부,10
어제 드라마 정주행했는데 영화도 꿀잼이네요! 너무 짧아서 시간가는 줄도 모르고 초집중하면서 본것 같아요! ,10
연출이 짜증나네요 큰그림은( 시나리오)좋은데 디테일 부분이 너무 짜증남 ,2
사투리를 못하면 갱상도 출신을 섭외하던지.. 영화 내내 듣기 거북해서 보다가 말음..,4
생각없이 봤는데 끝까지 몰입했음연기도 좋고마지막이 좀 아쉬웠지만,8
미쳣다 개 지린다 개슬픈데 개잘생김,10
시간이 흐르면 흐를 수록 송태섭이 잘생겨보인다,8
같이간 일행이 물많이먹고 화장실이랑 교섭하는거 보는게 더 잼썻음,4
바람펴서 떠났다는 남편의 실물에 패닉 옴.,6
아무 내용도 없는 기대 감도 못주던 고요의 바다 보다 더하네.. 공각기동대는 여튼 스토리 따라갈려고는 하는데.. 이건 뭐 그냥 한국 k영화 드라마 방역에 빌붙어서 대충 만들어서 개나소나 ,1
걍 시간낭비 전투씬?기대하지마 ,1
이 영화를 계기로 앞으로 한국 스톱모션 영화를 더 주의깊고 재밋게 관심가지게 될것 같습니다,10
크리스마스때 개봉하면 더 좋았을듯...생각없이 예매했는데 재미있게 봤어요.,10
음악영화인데 주인공이 왤케 노래를 못해..? ,4
몰입감 대박임 스토리가 열받지 연기좋고 연출좋음,10
내 어린시절이 다시 돌아온 느낌,10
사실 흔한 평범한 이야기이고 저예산 영화임에도 불구하고 유치하지 않은 배우들의 연기력그리고 구성이 마지막까지 긴장감을 유지시켜 어설픈 돈들인 영화보다 쫀쫀했다 할 수 있음배우들도 기대대고 감독도 기대되는 작품임,8
압도적인 경험이었습니다.,10
"황정민,현빈 때문에 봄, 위험한 곳 가지 말고 하는데 굳이 X 가서 세금으로 몸값 지불하고 잘 하는 짓 들이다",7
원작은 보지 않았는 데 영화는 재밌었음,9
헤어나올 수 없다 그 바다에서 처럼,10
"방구석 평점:연기1, 배우1, CG10,스토리 3,유머 -10 ,점평점 높게준 이유: 나만죽을순없다 ",10
조금 지루하긴 했지만 노장들의 연기력과 영상미는 볼만합니다.,6
재밌음,6
영화 너무 슬프게 잘만들었어요...잘 안우는데 연속으로 터뜨려주네요추천합니다,10
드라마 팬으로써 시작부터 눈물 날뻔.... 상친놈이라면 꼭 봐야하는 영화 장면 하나하나 감동적이고 대만감성 제대로... 아무튼 최고였다 ,10
뮤지컬 영화 답게 노래 가사 하나하나가 인상 깊고 마음에 울림을 주네요. 저는 재미있게 잘 봤습니다. ,10
북산 멤버들 다시 보니깐 눈물이 나더라  ,10
