sentence,score
겨울마다 생각난다. 눈을 이렇게 예쁘게 담은 영화가 또 있을까. 모든 대사와 장면이 깨끗하고 따뜻하고 맑고 다정하다. 올 겨울 눈 오는 날에 또 꺼내볼 영화.,10
연기가 어느하나 구멍이 없다 최근 이렇게 영화보며 운적이 있었나 싶다,10
초등고학년 아들과 함께보길잘했네요. 깊은감동과 울림에 둘다 눈물을 흘리고 다시한번 독립운동에 힘쓰신분들께 감사함을 느꼈습니다.,10
마지막 장면 정말 잊지 못 할 것 같다... 입 벌리면서 봄...,10
초등고학년 아들과 함께보길잘했네요. 깊은감동과 울림에 둘다 눈물을 흘리고 다시한번 독립운동에 힘쓰신분들께 감사함을 느꼈습니다.,10
긴장감 넘침에도 조절을 하고 감동과 재미 다 잡았다. 진짜 강백호 최고,9
전개성은 비행기 이륙하는 순간 떨군 것 같아요. 좋은 배우분들로 이런 영화를 찍은게 너무 아쉽네요,1
정일우배우의 혼신의 연기는 정말 칭찬해줘야한다. ,10
그냥 일본만화 ㅋㅋ,1
내가 이걸 왜 보고있지 하면서  엔딩까지 본 영화 묘하게 끝까지 보게 되는 이영화 뭐지,6
90년대에 청춘을 보냈던 모든 이들을 위한 헌사 . 송태섭의 이야기가 여백을 채우지만 여전히 내게 슬램덩크는 강백호의 서사시다,8
하도 볼게 없어서 봐봤는데 기대 이상의 망작. 동시녹음은 엉망이고 스토리는 없고 연기는 개판이고 마지막으로 연출은... 할 말 없게 만든다노력이 가상해서 1점,1
짜짱면 냄새 그욱한.. 쭝뽕 영화... 시간이 남아돈다면 즐겨라~,10
보기전에는 울었다는 사람 이해못했음. 기껏해야 만화를 보는데 무슨.근데 한참보는데 눈물이 ㅜㅠ 늙어서 그런건가?,10
호금전 감독의 위대한 객잔시리즈의 시작을 알리는 명작,8
그냥저냥 볼만하였습니다,6
"다좋타 다좋은데, 스토리에 지루함만 살짝 없었다면... 정말 최고였을듯~~!!",8
너무 뻔한 영화인데 이런 소재와 감성으로 눈물을 흘리게 만드는 특별한 영화,10
너무 슬펐어요ㅠㅠㅠ,10
개인적으로 빨간눈의 늑대로 표현된 푸스의 극도의 공황장애 상황에서 치료견이 꿈인 페리토가 진정시켜 주는 장면이 베스트.,10
연기가 엄청나고 실화 바탕의 영화여서 몰입가능,10
리뷰들 전부알바천지.. 연기가 뭐 어째? B급도 아니고 C급영화..킬링타임용도 안됨,1
최고급 재료로 초보 요리사가 만든 음식,7
"현존하는 최고의 좀비영화다설정좋고 스토리 탄탄하고 어디하나 흠잡을데가없다특히 지연의 여기는 칸영화제 여우주연상감이라해도 과언이아니다.끝으로, 나만 당할수없다.",10
2023년 최고의 영화 !!!,10
분명 영화에서 보여주려는 건 산티아고 프랑스 길 같은데.... 감독은 도대체 이 영화를 어디서 어느 배경을 가지고 찍은 걸까???  스위스 고산지대에서 찍은 거 같은데.... 영화 배경이 전혀 산티아고 순례길이 아닌데...,2
3시간이 넘는 상영시간이 길지 않게 느껴졌어요. 어여 3편 나오면 좋겠네요,10
일단보세요재밌습니다,10
민정씨 여전히 너무 아름답네요~~,10
빌딩좀비어떻게 강남좀비ㅋ,1
뭔 내용인거야?정말ㄹㆍ,1
잔잔하게  볼수  있는영화에요,10
선생님... 슬램덩크가 보고싶어요,10
남자배우님 연기 너무 잘하시고 스토리 전개가 넘 재미있습니다 ,10
어린시절을 떠올리게 만드는 영화...,10
일요일 서프라이즈 외국인들 나오는게 10배 잼남. ,1
노래 잘하는 소녀 벨리에의 홀로서기 도전기!나온지 꽤 됐지만 한번씩 또 찾아보게 되네요.꿈을 찾지 못한 청소년과 꿈을 잊고 사는 어른들에게 추천합니다.아름다운 샹송이 귀까지 즐겁게 해줘요.ㄱ,10
군더더기 없이 깔끔하면서도 치밀한 작품.,8
아바타2를 보고 감격해서 또 보고싶었다. 하지만 슬램덩크가 그 감격 이상이었다. 내일 슬램덩크를 또 보러 간다. 숨이 막히는 장면들이 있는데 영화를 보러 간다기 보다 그 느낌을  받으러 갑니다! ,10
눈물펑펑ㅜㅜ감정이입되서 봤어요,9
눈물난다....ㅠㅠ,10
3D로 다시 보니 좀 낫네,8
반전 영화라고 해서 영화 보는 내내 이런저런 반전을 예상해 보았는데 영화 끝에 가서야 소름 돋는 반전을 보고 그냥 할 말을 잊었다.  반전의 끝판왕,8
위대한 독립투사의 1년.연출도 좋았도 특히 배우들의 노래도 참 좋았다.애국심으로 봤지만 영화적 재미도 크다!,10
"글쎄요. 살짝 신선한데 재미는..갸우뚱. 무슨 얘기인지 알겠는데, 이건 그냥 20분짜리 단편으로도 만들 수 있을거 같고, 그게 더 멋진 영화가 될듯. ",6
진짜 동감2000 최고의 명작이다 마지막 부분에 울컥 ㅠㅠ 마음이 아프네요,10
4d로 봤는데 좀 멀미나서 초반에 집중을 못했는데그래도 역시 아바타는 아바타!,9
최고의 영화 그 때의 감성으로 되돌아감 요즘엔 이런 감성의 영화가 없는 듯 ,10
개존잼 미침 그냥 ㄹㅇ 미침,10
화려한 포장지를 뜯는 재미.,6
전계가 좀 억지스럽긴 했지만 재밌게 봤어요,8
너무너무재밌어 미치겠음,10
여러모로 신선한 영화였습니다,10
왜곡된 성의식 을 갖도록 해주는 영화.  여자의 성 을  모르는 유해한 영화. 배우들이 안됬음.  김기덕 의 시선과 같은 영화다. 보지마세요 성인들도.,2
마지막 소원이 너무나도 아름답다,8
본 것을 말하라.,7
이거 재밋나??ㅈ밋냐구 묻자나,10
거스를 수 없는 운명이라면 숙명으로 여겨 섬기며 살아가는게 인간의 도리,7
미쳤다는 표현밖에 너무ㅠ감동적입니다. 예전에 느꼈던 감정이 다시드네요. 농구 하러 갑니다.,10
첨부터 끝까지 눈물범벅.. 넘 좋았습니다. ,10
추억은 파는거다난 기꺼이 샀고 나의 지출은 값졌다,10
좋은배우들놓고  .돈주고 봤음 돈아까웠을듯  암생각없이 재미있을꺼라 기대하고봤는데 이건머...,2
아무리 연기라지만 초반부 류승룡 개패고 싶다 ㅎㅎ 어떻게 아내가 폐암이라는데 ㅎㅎ저따구로 연기하냐 ㅆ,8
더빙으로 보란 후기가 많던데일본판 애니로도 봐서 자막도 괜찮았음작가는 천재다.,10
"연출도ㅠㅠ너무 극 몰입에 방해되고, 민비 죽을때 역사적 고증도 잘 안된것 같아서ㅠㅠ몰입 방해됐어요",4
첫 3d 영화가 시즌2가 나온 것만으로도 좋았어요..ㅎㅎ전 딱히 불만족한 점은 없었습니다언제 봐도 네이티리 역 배우 연기는 최고네요 ..,8
"기대 안하고 봤는데 영상미도 있고, 내용도 재밌었음",10
마션은 감자로 기억되고 문맨은 캥거루로 기억되리,9
"13년만의 후속작으로 인한 설레임, 정말 화려한 영상미에 감동과 소름이 끼침, SF와 액션이 버무려져서 3시간30분정도의 영화가 2시간정도로 느껴짐, 개인적인 의견으로 영화에서의 빌런으로 여겨지는 설리, 스파이더로 인해 뭔가 아쉬움...",10
영화 보는 내내 마음이 따뜻해지고 기분좋아지는 영화,10
미쳤다 다른시점으로도 나왔으면 서태웅이나 채치수 뭐 등등,10
학창시절을 동거동락한 만화 속 친구들이 대형 화면에서 물 흐르듯 살아 움직일때 느껴지는 놀라움. 만화 컷 사이에서 상상했었던 농구 동작들이 3D로 매끄럽고 자연스럽게 구현될 때의 쾌감. 스피디한 전개에 대해지는 ost의 짜릿함. 덕분에 나의 청춘도 소환되었습니다. 이노우에 성님 선물 잘 받았습니다. 감사합니다ㅠㅠ ,10
국뽕으로 봐도 재미 없네요. 비싼 표값 내고 가서 볼 영화는아니에요. 그냥 집에서 보세요. ,6
맛없는 비빔밥 같은 영화,4
어떻게 이렇게표현할수가있는지... 경이롭다.지루하지않다.3편이 기대됨,10
"소소한 웃김, 감동 평보고 노잼 일줄 알았는데 재밌게 봤어요 ",9
마지막 10분 연출은진짜    만화가 선생이 감독했다는데 작가선생이 이제 경지에 도달하신거같음ㅠㅠ ,10
볼만해요 돈 안아까움~~,10
기대하지 않고 보면 볼만한데 결말이 이상함,6
너무재미있었습니다!,10
"뮤지컬을 본적이 없는데,좋은 기회다 하고 봤어요...그런데 결과적으론 실망만 가득했던거 같아요...바로 이어서 웃는남자를 봐서인지 더 실망했었어요...내용도, 노래도, 뭔가 기억에 남는 포인트도 없고... 실망만...",4
역대 시리즈 중 제일 지루하지만 그래도 다음편을 향한 고리라고 생각됨.,9
아바타 눈치봐서 개봉미룬 제작자의 아쉬운 안목과 배포,8
송민경 폼 미쳤다 굉장하다 송배우,10
이걸 영화관에서 봤어야했는데 ㅠㅠ 너무 감동이였어요 음악도 너무 좋고요 배우분들도 연기 잘하시고 ,10
T인 나를 2번 울렸음 하지만 미술계 종사자면 마지막에 감동이 약간 깨질순있음 하지만 넘나 감동적,10
아니 뭘 얘기하려는 건지는 알겠는데.. 굳이 보고싶지는 않는.. 그런 느낌.. 두번이나 트라이했지만 두번 다 끝까지 못봄.. 너무 다양한게 정성스레 차려졌는데... 먹어보니 딱히 넘어가지 않는 이국적인 맛이랄까.. 그나마 인디아나 존스의 꼬맹이가 이렇게 늙어버렸다니.. 목소리는 그대로네.. 싶어 반가움 ... 마지막 원소의 동양적 멀티버스 버젼이랄까..,6
초반부 살짝 지루한데 나중엔 재밌었어요 3d 안경껴서 약간 어지러웟둠 2d가 더 좋았을거같아여,9
보는 내내 감동과 새로운 스토리 뛰어난 화질 뛰어난 연출력 한마디로 미쳤다.마지막 서태웅과 강백호의 콤비 플레이가 뇌에서 떠나질 못하네미친듯이 적막한 가운데 펼처지는 마지막 장면이 압권임....완전 몰입도 최고임.40 넘어서 이런감동은 정말 좋아..,10
기대를 져버리지 않는 송민경,10
속절없이 눈물이 나는 영화. 사랑의 정수를 발견하다.,10
기대없이 본 영화 중 가장 좋았던 영화...알라딘 스토리 중 가장 현실적 드라마 시전..  러브라인이 웬지 살짝 어색했지만.. 그건 여성의 관점에서 볼 수 없어서 그럴지도 .. 액자식 이야기 구성도 친근하고 지니 프리퀄 떡밥도 괜찮았고...의외의 영화에 나온 친근한 배우는...길 지나가다 붕어빵 사먹는 스타 보는듯한 느낌이랄까 ,8
맞아서 아프고 죽어서 아프고 안쓰러워서 아프고 욕질에 귀가 더러워져 아프고 그리고..  그리워서 또 아플? 그런 영화 ㅡㅡ  온통 쓰레기난장판;; ,7
오프닝에 한명씩 걸어나올때부터 이미 감동모드 ㅜㅜ 작화 미쳤구요. 2D인데 3D 같은 느낌..  다 아는 얘기인데 이렇게 재미 있을수가..  작가님 감사요 ㅜㅜ,10
일본판인데도 옛 감성을 위해 백호 서태웅 이름 따서 좋았음.. 산왕전은 정말 명장면이 많았는데 다 담아내지는 못해서 조금 아쉽지만 오랜만에 심장뛰는 영화를 본듯함.. ost도 있었으면 좋았을텐데 살짝 아쉽..ㅜㅜ,8
보는내내 경이롭고 황홀했으며 동시에부끄러워 괴로웠다.3시간 러닝타임은 너무 순식간에 지나갔고큰 여운으로 한참을 앉아 멍하게 있게 되었다.,10
정말 기대 1도 없었던 영화.. 그림체가 드림웍스가 아니라 일단 실망 한가득 안고 들어갔지만 애니메이션 풍의 액션처리로 새로운 느낌 시전..나에겐 먹혔다. 영광을 뒤로 한 퇴물 히어로물은 어떤 코미디 장르든 통하는 편인데 나쁘지 않았다. 전혀~,7
전체적으로 재미있지만 송태섭의 과거이야기는 힘들다..,10
!!!!????÷÷,10
렉서스 광고는 웃음포인트 맞죠?,1
"크리스마스 시즌에 개봉했더라면 더 좋았을텐데... 지나서 개봉해서 아쉽네요 나름 재미있게 봤고 특히 권상우, 이민정, 오정세, 아역 배우들 연기 좋았습니다",9
송태섭!! 뚫어!!~~~~,9
처음부터 끝까지 울리는 영화휴지 꼭 들고 들어가셔요내용은 뭐 우리나라 사람이라면 당연히 감동이고 그 뻔하고 아는 내용을 잘 만들어주시고 잘연기해주시고 아무튼 다 멋졌다라고 표현력이 대단들 하십니다~^^꼭 보시고 꼭 행복하시고 꼭 열심히 삽시다,10
"이미 다 알고 있는 스토리,결말로 또 다른 새로운 감동을 느낄수 있었던?마치 첨 보는 영화처럼",10
보면서 나도 모르게 눈물이 나왔다,10
시리즈물로 가기위한 변주 재밌었으나..원작을 뛰어넘기에는 무리가 있음..ㅜ.ㅜ,8
흐헝 너무 좋아요.. 식채도 음악도 사랑합니다,10
젊은 날의 추억을 다시 한번 느낄 수 있어서. 보는 동안 참 행복했습니다.,10
고아로 태어나서 부모님의 사랑..가족의 따뜻함을 모르고살았는데 만약 나도 낳아주신 부모님과 살았다면 저런 부모님의 사랑을 받을수있었겠지란 생각에 참 많이 울면서 봤습니다 ,10
너무기대 하던 안하던 보고나면 재밌다 하실 겁니다 이게 팩트,10
"아는 맛인데, 먹을 만 함.",5
관객을 속이려다가 본인들이 속은 것 같은 시나리오,7
다시 고등학생이 된 기분이었어요 ㅜ 프로농구 예매하러 갑니다 ㅜ ㅜ 감독님께 무한감사,10
영상미가 진짜 미쳤어요.. 3D 나 4D 로 봐야 제대로 보입니다...,10
"80년생, 14살에 슬램덩크를 처음 접해서 유년시절 농구밖에 기억에 없을만큼 농구인으로 살아왔는데 경기자체는 다 알고 있는 내용이었지만 송태섭의 유년시절과 내 유년시절의 기억이 더해져 가장 완벽한 영화가, 마무리가 되었다. 그시절을 살아왔고 지금까지 잘 살고 있어서 참 다행이다. ",10
나의 할아버지 나의 아버지 그리고 내 이야기가 될 시간들..  슬프지만 언젠가 누구에게나 찿아오는 시간,10
스토리도 지루할틈 없게 전개되고 무겁지 않게 시간가는 줄 모르고 봤어요 배우들 연기들도 잘하시고 즐겁게 봤어요,10
"후배 등장까지 확 단축하고, 캐릭터간의 대결을 좀 더 입체적으로 구성했으면 대박이었을 듯.아쉬운 점이 있지만 재미있음",8
딱 킬링타임용으로 적당한 8점 정도는 되는 거 같은데 평점이 너무 낮아서 맞추려고 10점 줌,10
정말 20대후반~30대 남자라면 필수로봐야함..,10
정말 완벽했다....,10
Life is brutal.,8
툴툴거리는 애들한테 내가보고싶어서 온거라고 서둘러 핑계됐어요  애들이랑 같이보고싶어서요 근데 사실 제가 보고싶었나 봅니다ㅎ 다 보고나니 왜 더빙판으로 봐야하는지 알거같아요  연출정말 퍼팩트네요,10
평점 7점대가 적당하다본다 대체 먼 영화를 보고살았기에 이게 4점대뿐이 안되는지?,10
망해가는 전주국제영화제와 그 수준을 같이 한다.,1
내가 미쳤지 이걸 돈주고 봤네,2
최소한 &amp;lt;더 퍼스트 슬램덩크&amp;gt;와 &amp;lt;장화신은 고양이: 끝내주는 모험&amp;gt;보다 영화 티켓값이 아깝지 않다.,9
슬램덩크를 접한 청년과 처녀들은 꼭 보세요 ,10
신비롭지만 신기롭지 않은 이야기,6
간만에 극장간 보람이 있는 영화!! 눈호강 정말 제대로 하고 나온기분,10
최고입니다.  정성화 멋짐,10
무조건 영화관가서 보세요 무조건입니다.,10
와~~진짜 연출 ,10
한번 더 보자고 하면 와이프님이 싫어하시겠죠ㅠ,10
마지막 현빈의 대사가 이 영화의 전부였다!!!&amp;#34;헤이 껄떡대지 말라우&amp;#34;,10
슬램덩크를 사랑하는 사람들에겐 충분히 재밌고 감동적임단 강백호 서태웅이 조연이라 아쉬워요,9
염정아님의 연기력이 돋보이는 영화. 염정아님의 음색이 아름다웠고 뮤지컬식 안무도 정말 잘 소화해주셔서 재미있게 봄. 다만..류승룡님이 연기하신 남편은 너무 밉상이라 보기 싫었음. 살아 생전에 개판으로 굴다가 죽기 전에 잘해주면 감동적인건가;; 남편만 없었으면 완벽했을 영화임. 그래도 10점인 이유는 염정아님의 연기가 정말 아름다워서 그래서 10점 드림.,10
"그럭저럭 즐길만하다, 중반부까지만",5
이거시 영화다 마리냐 최고의 영화,10
미친 감동적인 그래픽 ㅠㅠ,10
크리스마스 이브에 개봉했으면 딱 좋았을 것 같은데... 개봉 시기가 아쉽지만 재밌게 봤음 !,10
보는 내내 눈물 훔치면서 봤습니다..,10
영상미가 너무 좋아서 보는 내내 감탄했어요 꼭 영화관에서 보세요 최고예요!!,10
30년이 흘렀는데 쌓인 먼지 하나 없이 이렇게 생생하고 뜨겁고 팔딱거리다니.... 하아... 순식간에 타임워프 당해버렸네.,8
다들 연기 미쳤나봐요 .. 감동 넘쳐흘러 오열 하고 왔어요ㅠㅠ ,10
여대생들 겉으론 순결한 척 고상한 척 하지만 몰래 책도 찢어가고 돈에 눈 돌아가는 속물이란걸 너무나 팩폭 때리는 명작이네ㄷㄷ 남친한테는 안주면서 얼마나 비싼 척 하는건지 마담 말대로 6만원 짜리밖에 더 되냐? 요즘 여대생들이 자발적으로 키스방이나 오피 등 몸파는 알바하는 거 보면 영화는 오히려 현실을 200% 미화시킨 거지 진짜 김기덕은 대한민국이 낳은 천재 감독이다,10
뮤지컬도 좋고 영화도 좋고,10
설정 엉망이고  보면서 얼탱이가없네,1
진심 불면증에겐 최고의 수면제,1
와진짜 감동이였다 더빙판으로 한번 더보고싶음,10
"신선했고, 조금은 지루했고, 그래도 재미는 있고",7
판도라 다큐멘터리 영화 100점!!스토리는 글쎄...,9
친구랑 둘다 지루해서 잤음 영화보다 잔 거는 처음임..ㅠ,2
"오글거리는 대사는 이제 감독 특유의 고질병이 되어버렸고, 나름 클리셰 비틀기로 반전 유도하는데 순 억지에다가 유치하기까지 함.",4
개봉당시와 그 후에 무엇인가로 인해 이 영화를 못보고 있었어요. 김사랑과 하하 때문에 그토록 보고 싶었는데 오늘에서아 보고 말았습니다. 하..내 시간..P.s 엄복동 ,1
"남녀노소 누구나 즐기기에 좋다. 어색함, 의식되는 것 없이 그냥 실재하는 세계를 보고 온 기분이다. 그리고 그 세계에서 일어날 수 있는 상황은 전부 보여줬다.",8
정말 눈물이 마를 시간 없이 감동 깊게 잘 봤어요 배우들 어쩜 노래를 그렇게 잘하시는지 감동이 고스란히 전해졌어요  나문희 배우님 부분 ㅠ 눈물이 주루륵ost만 전체적으로 수십번 듣고 있어요~,10
너무 인상 깊었던 영화!,10
"첨부터 독수리 타고 갔으면 그 고생 안해도 됬었을껄… 왜 독수리는 일 다끝나니까 그때 나타나냐,,,",10
농구 한경기로도 이렇게 박진감 넘치고 긴장감을 주는 연출 정말 좋았습니다! 마지막 역전골은 정말 숨죽이면 봤습니다!또 슬램덩크 만화 원작과도 완전 똑같에서 정말 재밌게 잘 봤습니다!,10
지립니다 꼬오오옥 보세요 여러분,10
"연출이 개 쓰레기임. 긴장,스토리는 지랄맞고 심지어 연결도 잘 안됨.",5
역시 내 심등&amp;마려!!,10
영웅 감명깊게 잘봤어요.,10
영화관에서 보시라고 추천하고 싶네요. 경기의 박진감과 감동이 두배 세배 될거에요!!,10
마지막 안중근 선생의 소망이 이뤄지길 바라며,9
부부는 진짜 남이다.,8
돈아깝다..부산행 반도 만도못함,1
훌륭하네. 기대가 되는 여성 감독 나온 거 같다. 소재에 대해 깊이 다루는 게 좋았다.,9
진짜 고등학교때로 돌아간거 같고 원작보신분들은 명장면 나올때마다 가슴이 두근 거리는 느낌이 있습니다.,9
"영화 내내 큰 사건이 없어...전반적으로 잔잔했어요. 근데 중간중간 울컥한 마음이 들었어요. 마을방과후 교사들을 통해 우리 사회에서 묵묵히 자기자리에서 열심히 살아가는 사람들, 내 이웃들이 생각나서요. 그냥 마음이 따뜻해졌어요.",9
"뮤지컬과 상호보완관계인 작품.뮤지컬은 현장에서만 느낄 수 있는 배우들의 생생한 맛을 제공하고, 영화는 공간의 자유와 연출의 자유, 스케일의 자유로 보완된 맛을 제공한다.레 미제라블은 원작이 1000페이지가 넘는 장편 소설이다 보니 뮤지컬로 옮긴 시점에서 이야기를 풀어내는 데에 한계가 있었던 데다가 원작의 맛과 달리 민주주의와 자유주의를 위한 투쟁이 되어버렸지만, 영화 영웅은 원작이 뮤지컬이라 그런 아쉬움이 없다.",9
영상으로 보는 위인전.,8
판도라 올로케 4D는 의자가 너무 흔들거려서 쫌 빡셌음,10
국뽕에취합니다 굿굿,10
본 직후 아무말도 할 수 없었습니다 여운을 깨는게 아까울정도였어요..,10
소재는 신선.  셰프에 대한 맹목적인 추종도 비난도 다 죽어 마땅하다는 거구만.,6
주지훈의 외모를 제외하곤 모조리 젠틀하지 못하네,5
아주 자그마한 불씨까지 모조리 불태워서,8
가슴이 뜨거워진다 ㅠㅠ 영화를 보면서 가슴으로 울었다,10
명작은 명작 개미쳤음.. 보다가 소리지를뻔,10
돌비 강추.. 3d는  어지러워.. ㅎㅎ..,10
"연출, 영상 9점, 스토리 0점",9
최고의 영화 올해 최고입니다 꼭바오,10
30년전 14살로 돌아간거같았어요 ㅠ쓰러지지말라고 힘내라고 응원받았습니다. ㅠㅠ,10
이건 단지 추억팔이가 아니다.완벽한 전설의 귀환!,10
개미침개미쳐버림개미침,10
미쳤다 미쳤어 미쳤어 후휴,10
초반에 좀 오글거리긴하는데 후반엔 캬,8
대한민국 사람이라는게 자랑스러워지는 영화임,10
"일반관, IMAX 이렇게 두 번을 봤는데 네이티리 흐느낌은 정말이지.. 슬프다..",10
권상우 코믹 연기 좋네요!,8
전설의 박스치워. 빨리 박수처,2
30대중반 여자입니다ㅎ너무 오랫만에 나오는거라 사실 추억을 되살릴겸해서 더빙으로 보고왔는데  지금봐도 몇몇장면은 울컥하네요ㅜㅜㅎ개인적으로 회상씬부분이 너무많았던것 같기도하지만 슬램덩크를 안보셨던 분들에겐 도움이될것같아요ㅎ 진짜 박진감 넘치고 월드컵처럼 쫄깃합니다ㅎ ,10
잔잔하면서 역동적인 영화,10
잘봤습니다 ^^,10
꼭 봐야 할 감동적인 영화.적극추천,10
메세지 굿~ 연기 굿~ 에브리띵 굿~,10
지니도 외로웠고 슬펐고 사랑을 했던 사람이었다.,10
노가다를 해도 떳떳히 먹고 사는 세상에 길거리 구걸이 너무 현실성 없다.요즘 세상에 이런 가족이 어디에 있냐? 말이 안 되도 너무 안되는 억지 드라마,1
의외로 액션씬 잘 뽑았고 이정도면 스토리도 나쁘지 않은 듯,9
우리의 추억을 코트 위에 다시 열어보다,10
울었어요 소설 안 보고 봐서 더 슬펐음,10
너무재미업슴니다 지루하고 이걸영화라고,2
피가 살같에 치덕치덕 붙고 마르면 서서히 색이 바란다. 주홍색처럼,7
현빈 나이도 있는데 액션 지리네,8
가슴이 뭉클 대한민국 국민이라는것이 자랑스럽습니다,10
알바같은거 아니고... 진짜 두번 볼 정도로 감동있는 영화.물론 원작이랑은 다르지만.. 이정도면 한국에서도 충분히 만들 수 있었을텐데 왜지.. 중국에서 엄청 대박과 흥행났는데 아쉽네요,10
슬램덩크연재할때 부터 봐왔던 사람으로써 옛추억을 다시 꺼내줘서 고맙고 감동깊게봤다솔직하게 말하면 기존에 티비판 애니가 작화 연출 다 원작보다 떨어져서 기대반 걱정반으로 봤는데다 아는 내용임에도 재밋게 봤다특히나 좋았던 점은 개개인에 이야기들이 항상궁금했는데 송태섭에 이야기를 풀어내 줘서 정말 좋았고다음편에도 다른 주인공들의 이야기들을 풀어줬으면 좋겠다 ,8
우리나라 국민이라면 꼭 봐야 할 영화안중근 고국으로 어서 돌아 오길 소망합니다,10
눈물 지리릭 흘리면서 봄,10
잘 몰르는 사람은 진짜인줄 알겠다.,3
영화 채널에서 재방할때마다 매번 다시 보는 영화중 하나!! 연기를 너무잘함 ,10
시작할때부터 오열해서 끝날땐 마스크 다 젖음. 역사를 잊은 민족에게 미래는 없다!,10
보는 내내 너무 유치해서 참기 힘들었네요. 한국 원작이 궁금해서 보니 차라리 이쪽을 보시길 권해요. 중국 개봉당시엔 한국 웹툰 원작인거 쏙빼고 홍보한 이유를 알겠네요.,1
무난하게 잘본거같다.,7
"만화가 워낙 명작이라 큰 기대 없이 봤는데, 원작에 없는 이야기와 함께 내용이 잘 버무려져서 너무 좋았습니다. 간만에 추억이 새록새록",10
실화를 재구성한 다큐멘터리입니다.,10
짧지만 그래서 더 빛나는 영화. 원래 열린 결말을 싫어하지만 이 영화는 열린 결말이어서 오히려 더 아름다운 것 같다.,10
"어렸을적 봤을땐 몰랐는데, 나이먹고 다시보니 서기 너무 이쁘네요. 감동도 있고 재미있었습니다 ^^",10
보고 많이 울었네요. 따뜻한 영화 에요^^,10
첫 장면부터 시작해서 계속 짜증 유발 장면의 나열인데 30분도 안 돼서 끄게 된다 ㅡㅡ^,1
만화책으로 느낄수 없는 감동을 주는 영화.정말 좋았음,10
